subj_idx,task,condition,stimulus,subject_answered,response,rt
s01,audio,control,slow,slow,1.0,0.987
s01,audio,control,fast,fast,1.0,0.986
s01,audio,incongruent,fast,slow,0.0,1.078
s01,audio,congruent,fast,slow,0.0,1.023
s01,audio,control,slow,slow,1.0,1.139
s01,audio,control,fast,fast,1.0,1.299
s01,audio,congruent,slow,fast,0.0,0.906
s01,audio,congruent,fast,fast,1.0,0.864
s01,audio,incongruent,slow,slow,1.0,1.142
s01,audio,incongruent,slow,slow,1.0,1.043
s01,audio,control,fast,fast,1.0,0.86
s01,audio,control,slow,fast,0.0,1.958
s01,audio,incongruent,slow,fast,0.0,0.914
s01,audio,incongruent,fast,slow,0.0,0.86
s01,audio,control,slow,slow,1.0,1.031
s01,audio,incongruent,slow,fast,0.0,1.042
s01,audio,congruent,slow,fast,0.0,1.007
s01,audio,control,slow,slow,1.0,1.046
s01,audio,incongruent,slow,fast,0.0,1.523
s01,audio,control,slow,slow,1.0,1.114
s01,audio,congruent,slow,slow,1.0,1.031
s01,audio,congruent,slow,slow,1.0,0.762
s01,audio,incongruent,slow,slow,1.0,0.738
s01,audio,control,fast,slow,0.0,0.902
s01,audio,incongruent,slow,slow,1.0,0.778
s01,audio,congruent,fast,fast,1.0,0.979
s01,audio,congruent,fast,fast,1.0,1.014
s01,audio,incongruent,slow,slow,1.0,0.958
s01,audio,control,fast,fast,1.0,0.942
s01,audio,control,slow,slow,1.0,1.187
s01,audio,incongruent,fast,fast,1.0,0.979
s01,audio,control,fast,fast,1.0,1.012
s01,audio,congruent,fast,fast,1.0,0.81
s01,audio,congruent,slow,slow,1.0,1.458
s01,audio,congruent,slow,slow,1.0,1.458
s01,audio,congruent,fast,fast,1.0,0.814
s01,audio,control,fast,slow,0.0,0.967
s01,audio,incongruent,slow,slow,1.0,1.202
s01,audio,control,fast,fast,1.0,0.999
s01,audio,congruent,slow,slow,1.0,1.044
s01,audio,incongruent,fast,fast,1.0,1.406
s01,audio,incongruent,fast,fast,1.0,0.77
s01,audio,congruent,slow,slow,1.0,1.038
s01,audio,control,slow,slow,1.0,0.802
s01,audio,control,fast,slow,0.0,0.702
s01,audio,incongruent,fast,fast,1.0,1.092
