Subject No.,First Session,Session Type,Game No.,Congruency,Direction,Good/Bad,Response Direction,Response Good/Bad,Trial No.,Trial Correct,Reaction Time
4,audio,audio,1,Incongruent,right,good,NaN,NaN,1,NaN,NaN
4,audio,audio,1,Congruent,left,good,NaN,NaN,2,NaN,NaN
4,audio,audio,1,Control    ,left,good,left,good,3,1,987
4,audio,audio,1,Control    ,left,bad,left,bad,4,1,986
4,audio,audio,1,Incongruent,left,bad,left,good,5,0,1078
4,audio,audio,1,Congruent,right,bad,right,good,6,0,1023
4,audio,audio,1,Control    ,right,good,right,good,7,1,1139
4,audio,audio,1,Control    ,left,bad,left,bad,8,1,1299
4,audio,audio,1,Congruent,left,good,left,bad,9,0,906
4,audio,audio,1,Congruent,right,bad,right,bad,10,1,864
4,audio,audio,1,Incongruent,right,good,right,good,11,1,1142
4,audio,audio,1,Incongruent,left,good,left,good,12,1,1043
4,audio,audio,1,Control    ,left,bad,left,bad,13,1,860
4,audio,audio,1,Control    ,left,good,left,bad,14,0,1958
4,audio,audio,1,Incongruent,right,good,right,bad,15,0,914
4,audio,audio,1,Incongruent,right,bad,right,good,16,0,860
4,audio,audio,1,Control    ,left,good,left,good,17,1,1031
4,audio,audio,1,Incongruent,right,good,right,bad,18,0,1042
4,audio,audio,1,Congruent,left,good,left,bad,19,0,1007
4,audio,audio,1,Control    ,left,good,left,good,20,1,1046
4,audio,audio,1,Incongruent,right,good,right,bad,21,0,1523
4,audio,audio,1,Control    ,right,good,right,good,22,1,1114
4,audio,audio,1,Congruent,right,good,right,good,23,1,1031
4,audio,audio,1,Congruent,right,good,right,good,24,1,762
4,audio,audio,1,Incongruent,left,good,left,good,25,1,738
4,audio,audio,1,Control    ,right,bad,right,good,26,0,902
4,audio,audio,1,Incongruent,left,good,left,good,27,1,778
4,audio,audio,1,Congruent,right,bad,right,bad,28,1,979
4,audio,audio,1,Congruent,right,bad,right,bad,29,1,1014
4,audio,audio,1,Incongruent,right,good,right,good,30,1,958
4,audio,audio,1,Control    ,right,bad,right,bad,31,1,942
4,audio,audio,1,Control    ,right,good,right,good,32,1,1187
4,audio,audio,1,Incongruent,left,bad,left,bad,33,1,979
4,audio,audio,1,Control    ,left,bad,left,bad,34,1,1012
4,audio,audio,1,Congruent,left,bad,left,bad,35,1,810
4,audio,audio,1,Congruent,right,good,right,good,36,1,1458
4,audio,audio,1,Congruent,left,good,left,good,37,1,1458
4,audio,audio,1,Congruent,right,bad,right,bad,38,1,814
4,audio,audio,1,Control    ,right,bad,right,good,39,0,967
