subj_idx,task,condition,stimulus,answered,correct,rt,response
S00,audio,control,slow,slow,1,0.987,0
S00,audio,control,fast,fast,1,0.986,1
S00,audio,incongruent,fast,slow,0,1.078,0
S00,audio,congruent,fast,slow,0,1.023,0
S00,audio,control,slow,slow,1,1.139,0
S00,audio,control,fast,fast,1,1.299,1
S00,audio,congruent,slow,fast,0,0.906,1
S00,audio,congruent,fast,fast,1,0.864,1
S00,audio,incongruent,slow,slow,1,1.142,0
S00,audio,incongruent,slow,slow,1,1.043,0
S00,audio,control,fast,fast,1,0.86,1
S00,audio,control,slow,fast,0,1.958,1
S00,audio,incongruent,slow,fast,0,0.914,1
S00,audio,incongruent,fast,slow,0,0.86,0
S00,audio,control,slow,slow,1,1.031,0
S00,audio,incongruent,slow,fast,0,1.042,1
S00,audio,congruent,slow,fast,0,1.007,1
S00,audio,control,slow,slow,1,1.046,0
S00,audio,incongruent,slow,fast,0,1.523,1
S00,audio,control,slow,slow,1,1.114,0
S00,audio,congruent,slow,slow,1,1.031,0
S00,audio,congruent,slow,slow,1,0.762,0
S00,audio,incongruent,slow,slow,1,0.738,0
S00,audio,control,fast,slow,0,0.902,0
S00,audio,incongruent,slow,slow,1,0.778,0
S00,audio,congruent,fast,fast,1,0.979,1
S00,audio,congruent,fast,fast,1,1.014,1
S00,audio,incongruent,slow,slow,1,0.958,0
S00,audio,control,fast,fast,1,0.942,1
S00,audio,control,slow,slow,1,1.187,0
S00,audio,incongruent,fast,fast,1,0.979,1
S00,audio,control,fast,fast,1,1.012,1
S00,audio,congruent,fast,fast,1,0.81,1
S00,audio,congruent,slow,slow,1,1.458,0
S00,audio,congruent,slow,slow,1,1.458,0
S00,audio,congruent,fast,fast,1,0.814,1
S00,audio,control,fast,slow,0,0.967,0
S00,audio,incongruent,slow,slow,1,1.202,0
S00,audio,control,fast,fast,1,0.999,1
S00,audio,congruent,slow,slow,1,1.044,0
S00,audio,incongruent,fast,fast,1,1.406,1
S00,audio,incongruent,fast,fast,1,0.77,1
S00,audio,congruent,slow,slow,1,1.038,0
S00,audio,control,slow,slow,1,0.802,0
S00,audio,control,fast,slow,0,0.702,0
S00,audio,incongruent,fast,fast,1,1.092,1
S00,audio,congruent,slow,slow,1,0.954,0
S00,audio,congruent,fast,fast,1,0.755,1
S00,audio,control,slow,slow,1,1.118,0
S00,audio,control,slow,slow,1,0.962,0
S00,audio,congruent,slow,fast,0,0.818,1
S00,audio,control,fast,slow,0,0.875,0
S00,audio,congruent,fast,fast,1,0.768,1
S00,audio,congruent,slow,slow,1,0.87,0
S00,audio,control,slow,slow,1,2.423,0
S00,audio,congruent,fast,fast,1,1.106,1
S00,audio,congruent,slow,slow,1,1.67,0
S00,audio,control,fast,fast,1,0.833,1
S00,audio,congruent,fast,fast,1,1.128,1
S00,audio,incongruent,slow,fast,0,0.99,1
S00,audio,control,slow,slow,1,1.303,0
S00,audio,incongruent,fast,fast,1,0.786,1
S00,audio,control,slow,slow,1,0.846,0
S00,audio,congruent,slow,slow,1,0.742,0
S00,audio,incongruent,slow,slow,1,1.034,0
S00,audio,incongruent,slow,slow,1,0.757,0
S00,audio,incongruent,fast,fast,1,1.042,1
S00,audio,incongruent,fast,fast,1,0.861,1
S00,audio,incongruent,fast,fast,1,0.979,1
S00,audio,congruent,slow,slow,1,1.342,0
S00,audio,incongruent,slow,slow,1,0.874,0
S00,audio,incongruent,slow,slow,1,0.868,0
S00,audio,control,slow,slow,1,0.795,0
S00,audio,congruent,fast,fast,1,0.855,1
S00,audio,control,fast,fast,1,0.885,1
S00,audio,incongruent,slow,fast,0,0.962,1
S00,audio,control,fast,fast,1,1.01,1
S00,audio,incongruent,fast,fast,1,0.831,1
S00,audio,congruent,fast,fast,1,0.832,1
S00,audio,control,fast,fast,1,0.87,1
S00,audio,congruent,fast,fast,1,1.182,1
S00,audio,control,fast,fast,1,0.858,1
S00,audio,congruent,slow,slow,1,0.988,0
S00,audio,congruent,slow,slow,1,0.857,0
S00,audio,congruent,slow,slow,1,0.733,0
S00,audio,congruent,fast,fast,1,0.906,1
S00,audio,congruent,slow,slow,1,0.834,0
S00,audio,congruent,fast,fast,1,1.054,1
S00,audio,control,slow,fast,0,0.846,1
S00,audio,incongruent,slow,slow,1,0.765,0
S00,audio,incongruent,slow,slow,1,0.753,0
S00,audio,incongruent,slow,slow,1,0.688,0
S00,audio,control,slow,slow,1,1.404,0
S00,audio,congruent,slow,slow,1,0.881,0
S00,audio,control,fast,slow,0,0.749,0
S00,audio,congruent,fast,fast,1,1.007,1
S00,audio,congruent,slow,slow,1,0.922,0
S00,audio,control,slow,slow,1,1.187,0
S00,audio,control,fast,fast,1,0.905,1
S00,audio,incongruent,fast,fast,1,1.706,1
S00,audio,congruent,slow,fast,0,0.796,1
S00,audio,control,slow,fast,0,1.133,1
S00,audio,congruent,slow,slow,1,0.785,0
S00,audio,incongruent,slow,slow,1,0.738,0
S00,audio,congruent,fast,fast,1,0.841,1
S00,audio,congruent,fast,fast,1,0.869,1
S00,audio,incongruent,fast,slow,0,0.941,0
S00,audio,congruent,slow,slow,1,0.973,0
S00,audio,incongruent,slow,slow,1,0.965,0
S00,audio,congruent,fast,fast,1,0.949,1
S00,audio,congruent,fast,fast,1,1.396,1
S00,audio,incongruent,fast,fast,1,1.309,1
S00,audio,incongruent,fast,slow,0,0.982,0
S00,audio,congruent,fast,fast,1,0.822,1
S00,audio,incongruent,slow,slow,1,0.969,0
S00,audio,control,slow,slow,1,0.937,0
S00,audio,congruent,fast,fast,1,0.837,1
S00,audio,control,fast,fast,1,0.997,1
S00,audio,control,fast,fast,1,0.995,1
S00,audio,control,slow,slow,1,1.208,0
S00,audio,control,slow,fast,0,1.045,1
S00,audio,control,fast,fast,1,1.161,1
S00,audio,control,slow,slow,1,1.469,0
S00,audio,incongruent,slow,fast,0,0.797,1
S00,audio,incongruent,slow,slow,1,0.957,0
S00,audio,control,slow,slow,1,1.504,0
S00,audio,incongruent,fast,fast,1,1.609,1
S00,audio,congruent,slow,slow,1,1.12,0
S00,audio,control,slow,slow,1,0.889,0
S00,audio,control,fast,fast,1,0.842,1
S00,audio,incongruent,slow,fast,0,1.417,1
S00,audio,congruent,fast,fast,1,0.725,1
S00,audio,incongruent,slow,fast,0,0.769,1
S00,audio,incongruent,fast,fast,1,0.989,1
S00,audio,incongruent,slow,slow,1,0.764,0
S00,audio,incongruent,slow,slow,1,1.045,0
S00,audio,control,fast,fast,1,0.865,1
S00,audio,incongruent,slow,fast,0,1.007,1
S00,audio,control,slow,slow,1,1.493,0
S00,audio,incongruent,fast,fast,1,0.861,1
S00,audio,control,slow,fast,0,0.97,1
S00,audio,incongruent,fast,fast,1,1.633,1
S00,audio,incongruent,fast,fast,1,1.014,1
S00,audio,control,fast,fast,1,1.581,1
S00,audio,congruent,slow,slow,1,1.002,0
S00,audio,incongruent,slow,fast,0,0.708,1
S00,audio,control,fast,fast,1,0.753,1
S00,audio,congruent,slow,slow,1,0.909,0
S00,audio,control,slow,slow,1,1.915,0
S00,audio,congruent,slow,fast,0,0.703,1
S00,audio,congruent,slow,slow,1,1.059,0
S00,audio,congruent,slow,slow,1,0.751,0
S00,audio,control,fast,fast,1,0.951,1
S00,audio,congruent,fast,fast,1,1.172,1
S00,audio,control,fast,fast,1,0.855,1
S00,audio,control,slow,fast,0,0.776,1
S00,audio,incongruent,slow,slow,1,0.883,0
S00,audio,incongruent,fast,fast,1,1.071,1
S00,audio,incongruent,fast,fast,1,1.332,1
S00,audio,incongruent,fast,fast,1,0.923,1
S00,audio,congruent,slow,slow,1,1.141,0
S00,audio,incongruent,slow,slow,1,1.042,0
S00,audio,incongruent,slow,slow,1,0.735,0
S00,audio,incongruent,slow,slow,1,0.767,0
S00,audio,control,fast,fast,1,0.811,1
S00,audio,control,slow,slow,1,1.138,0
S00,audio,incongruent,slow,fast,0,1.058,1
S00,audio,incongruent,slow,slow,1,1.015,0
S00,audio,congruent,fast,fast,1,0.783,1
S00,audio,control,fast,fast,1,0.919,1
S00,audio,control,slow,slow,1,1.52,0
S00,audio,congruent,fast,fast,1,1.339,1
S00,audio,control,slow,slow,1,1.594,0
S00,audio,incongruent,slow,slow,1,0.839,0
S00,audio,congruent,fast,fast,1,0.79,1
S00,audio,congruent,fast,fast,1,0.763,1
S00,audio,congruent,slow,slow,1,1.087,0
S00,audio,incongruent,fast,fast,1,0.822,1
S00,audio,incongruent,slow,slow,1,0.911,0
S00,audio,control,slow,slow,1,0.747,0
S00,audio,incongruent,slow,slow,1,0.894,0
S00,audio,control,fast,fast,1,0.894,1
S00,audio,congruent,fast,fast,1,1.276,1
S00,audio,incongruent,slow,slow,1,1.198,0
S00,audio,control,slow,slow,1,0.915,0
S00,audio,incongruent,slow,slow,1,1.164,0
S00,audio,control,fast,fast,1,0.967,1
S00,audio,control,slow,slow,1,1.094,0
S00,audio,control,slow,slow,1,0.895,0
S00,audio,incongruent,fast,slow,0,1.574,0
S00,audio,incongruent,slow,slow,1,0.886,0
S00,audio,congruent,fast,fast,1,1.013,1
S00,audio,incongruent,slow,slow,1,0.971,0
S00,audio,control,slow,slow,1,1.154,0
S00,audio,control,fast,fast,1,0.879,1
S00,audio,congruent,fast,slow,0,0.819,0
S00,audio,control,fast,fast,1,0.852,1
S00,audio,control,fast,fast,1,0.79,1
S00,audio,congruent,fast,fast,1,1.822,1
S00,audio,congruent,slow,fast,0,0.962,1
S00,audio,control,slow,slow,1,1.009,0
S00,audio,congruent,fast,fast,1,0.888,1
S00,audio,congruent,slow,slow,1,0.886,0
S00,audio,incongruent,fast,slow,0,1.48,0
S00,audio,control,slow,slow,1,0.942,0
S00,audio,congruent,fast,fast,1,0.991,1
S00,audio,control,fast,fast,1,1.135,1
S00,audio,congruent,slow,slow,1,1.154,0
S00,audio,congruent,fast,fast,1,1.907,1
S00,audio,congruent,slow,slow,1,0.974,0
S00,audio,congruent,fast,fast,1,1.623,1
S00,audio,incongruent,fast,slow,0,1.013,0
S00,audio,control,fast,slow,0,0.826,0
S00,audio,control,slow,slow,1,1.506,0
S00,audio,congruent,slow,slow,1,1.254,0
S00,audio,incongruent,slow,slow,1,1.198,0
S00,audio,control,fast,fast,1,1.743,1
S00,audio,congruent,fast,slow,0,1.25,0
S00,audio,congruent,slow,slow,1,0.949,0
S00,audio,control,slow,slow,1,1.163,0
S00,audio,control,slow,slow,1,1.699,0
S00,audio,incongruent,fast,fast,1,0.996,1
S00,audio,incongruent,slow,fast,0,1.683,1
S00,audio,control,fast,fast,1,1.158,1
S00,audio,congruent,slow,slow,1,0.853,0
S00,audio,congruent,fast,slow,0,1.034,0
S00,audio,congruent,fast,slow,0,1.365,0
S00,audio,congruent,fast,fast,1,1.042,1
